id,zone_id/id,siruta
l10n_ro.RO_AB,RO_C,10
l10n_ro.RO_AR,RO_V,29
l10n_ro.RO_AG,RO_SM,38
l10n_ro.RO_BC,RO_NE,47
l10n_ro.RO_BH,RO_NV,56
l10n_ro.RO_BN,RO_NV,65
l10n_ro.RO_BT,RO_NE,74
l10n_ro.RO_BV,RO_C,83
l10n_ro.RO_BR,RO_SE,92
l10n_ro.RO_BZ,RO_SE,109
l10n_ro.RO_CS,RO_V,118
l10n_ro.RO_CJ,RO_NV,127
l10n_ro.RO_CT,RO_SE,136
l10n_ro.RO_CV,RO_C,145
l10n_ro.RO_DB,RO_SM,154
l10n_ro.RO_DJ,RO_SVO,163
l10n_ro.RO_GL,RO_SE,172
l10n_ro.RO_GJ,RO_SVO,181
l10n_ro.RO_HR,RO_C,190
l10n_ro.RO_HD,RO_V,207
l10n_ro.RO_IL,RO_SM,216
l10n_ro.RO_IS,RO_NE,225
l10n_ro.RO_IF,RO_BI,234
l10n_ro.RO_MM,RO_NV,243
l10n_ro.RO_MH,RO_SVO,252
l10n_ro.RO_MS,RO_C,261
l10n_ro.RO_NT,RO_NE,270
l10n_ro.RO_OT,RO_SVO,289
l10n_ro.RO_PH,RO_SM,298
l10n_ro.RO_SM,RO_NV,305
l10n_ro.RO_SJ,RO_NV,314
l10n_ro.RO_SB,RO_C,323
l10n_ro.RO_SV,RO_NE,332
l10n_ro.RO_TR,RO_SM,341
l10n_ro.RO_TM,RO_V,350
l10n_ro.RO_TL,RO_SE,369
l10n_ro.RO_VS,RO_NE,378
l10n_ro.RO_VL,RO_SVO,387
l10n_ro.RO_VN,RO_SE,396
l10n_ro.RO_B,RO_BI,403
l10n_ro.RO_CL,RO_SM,519
l10n_ro.RO_GR,RO_SM,528
