id,name,siruta,country_id/id
base.RO_NE,Nord - Est,813,base.ro
base.RO_SE,Sud - Est,822,base.ro
base.RO_SM,Sud - Muntenia,831,base.ro
base.RO_SVO,Sud - Vest - Oltenia,840,base.ro
base.RO_V,Vest,859,base.ro
base.RO_NV,Nord - Vest,868,base.ro
base.RO_C,Centru,877,base.ro
base.RO_BI,București - Ilfov,886,base.ro
