id,name,state
hr_job_romania_111202,111202 - Consilier Guvernamental,open
hr_job_romania_111203,111203 - Consilier Si Consultant Juridic,open
hr_job_romania_111204,111204 - Consilier Institutii Publice,open
hr_job_romania_111205,111205 - Consilier Al Ministrului,open
hr_job_romania_111206,111206 - Consul General,open
hr_job_romania_111207,111207 - Director Institutie Publica,open
hr_job_romania_111208,111208 - Director Adjunct Institutie Publica,open
hr_job_romania_111209,111209 - Director De Cabinet,open
hr_job_romania_111210,111210 - Director General Institutie Publica,open
hr_job_romania_111211,111211 - Consilier Economic,open
hr_job_romania_111212,111212 - Inspector De Stat Sef,open
hr_job_romania_111213,111213 - Inspector-Sef In Administratia Publica,open
hr_job_romania_111214,111214 - Magistrat-Asistent-Sef,open
hr_job_romania_111215,111215 - Notar-Sef,open
hr_job_romania_111216,111216 - Notar-Sef Adjunct,open
hr_job_romania_111217,111217 - Secretar-Sef Notariat,open
hr_job_romania_111218,111218 - Prefect,open
hr_job_romania_111219,111219 - Secretar General,open
hr_job_romania_111220,111220 - Sef Birou Institutie Publica,open
hr_job_romania_111221,111221 - Sef Cabinet,open
hr_job_romania_111222,111222 - Sef Birou Senatorial,open
hr_job_romania_111223,111223 - Sef Departament,open
hr_job_romania_111224,111224 - Sef Protocol De Stat,open
hr_job_romania_111225,111225 - Sef Serviciu Institutie Publica,open
hr_job_romania_111226,111226 - Subprefect,open
hr_job_romania_111227,111227 - Viceguvernator,open
hr_job_romania_111228,111228 - Presedinte Institutie Publica,open
hr_job_romania_111229,111229 - Consilier Prezidential,open
hr_job_romania_111230,111230 - Consilier Parlamentar,open
hr_job_romania_111231,111231 - Vicepresedinte Institutie Publica,open
hr_job_romania_111232,111232 - Atasat Diplomatic,open
hr_job_romania_111233,111233 - Consul,open
hr_job_romania_111234,111234 - Secretar Diplomatic,open
hr_job_romania_111235,111235 - Viceconsul,open
hr_job_romania_111236,111236 - Consultant Prezidential Si Guvernamental,open
hr_job_romania_111237,111237 - Secretar General Academie,open
hr_job_romania_111301,111301 - Primar,open
hr_job_romania_111302,"111302 - Secretar Primarie, Prefectura",open
hr_job_romania_111303,111303 - Viceprimar,open
hr_job_romania_111401,111401 - Consilier Organizatie Politica,open
hr_job_romania_111402,111402 - Presedinte Organizatie Politica,open
hr_job_romania_111403,111403 - Vicepresedinte Organizatie Politica,open
hr_job_romania_111404,111404 - Secretar Organizatie Politica,open
hr_job_romania_111405,"111405 - Conducator De Asociatii, Filiale Si Organizatii Obstesti",open
hr_job_romania_111406,"111406 - Loctiitor Al Conducatorului De Asociatii, Filiale Si Organizatii Obstesti",open
hr_job_romania_111407,"111407 - Secretar Si Secretar Adjunct Ai Asociatiilor, Filialelor Si Organizatiilor Obstesti",open
hr_job_romania_111408,111408 - Presedinte Organizatie Sindicala,open
hr_job_romania_111409,111409 - Vicepresedinte Organizatie Sindicala,open
hr_job_romania_111410,111410 - Secretar Organizatie Sindicala,open
hr_job_romania_111411,111411 - Delegat Sindical,open
hr_job_romania_111412,111412 - Presedinte Asociatie Nationala Cooperatista,open
hr_job_romania_111413,111413 - Vicepresedinte Asociatie Nationala Cooperatista,open
hr_job_romania_111414,111414 - Secretar General Asociatie Nationala Cooperatista,open
hr_job_romania_111415,111415 - Presedinte Asociatie Teritoriala De Organizatii Cooperatiste,open
hr_job_romania_111416,111416 - Vicepresedinte Asociatie Teritoriala De Organizatii Cooperatiste,open
hr_job_romania_111417,111417 - Secretar Asociatie Teritoriala De Organizatii Cooperatiste,open
hr_job_romania_111418,111418 - Sef Departament Organizatie Sindicala,open
hr_job_romania_111419,111419 - Presedinte Organizatie Cooperatista,open
hr_job_romania_111420,111420 - Vicepresedinte Organizatie Cooperatista,open
hr_job_romania_111421,111421 - Presedinte Asociatie Patronala,open
hr_job_romania_111422,111422 - Vicepresedinte Asociatie Patronala,open
hr_job_romania_111423,111423 - Presedinte Organizatie Profesionala Nationala,open
hr_job_romania_111424,111424 - Vicepresedinte Organizatie Profesionala Nationala,open
hr_job_romania_111425,111425 - Secretar National Organizatie Profesionala Nationala,open
hr_job_romania_111426,"111426 - Presedinte Organizatie Profesionala, Filiala Judeteana/Municipiu",open
hr_job_romania_111427,"111427 - Vicepresedinte Organizatie Profesionala, Filiala Judeteana/Municipiu",open
hr_job_romania_111428,"111428 - Secretar Organizatie Profesionala, Filiala Judeteana/Municipiu",open
hr_job_romania_111429,111429 - Consilier Presedinte Organizatie Profesionala Nationala,open
hr_job_romania_111430,"111430 - Consilier Presedinte Organizatie Profesionala, Filiala Judeteana/Municipiu",open
hr_job_romania_111431,"111431 - Sef Departament/Compartiment/Presedinte Comisie Organizatie Profesionala, Filiala Judeteana/Municipiu",open
hr_job_romania_111432,111432 - Delegat Sindical Local,open
hr_job_romania_111433,111433 - Conducator De Organizatii Umanitare,open
hr_job_romania_111434,111434 - Secretar Al Organizatiilor Umanitare,open
hr_job_romania_112001,112001 - Comandant/Comandant Adjunct Aviatie,open
hr_job_romania_112002,"112002 - Comandant Port, Flota",open
hr_job_romania_112003,"112003 - Decan, Rector, Prorector, Prodecan",open
hr_job_romania_112004,112004 - Director Societate Comerciala,open
hr_job_romania_112005,112005 - Director Adjunct Societate Comerciala,open
hr_job_romania_112006,112006 - Inspector General Scolar,open
hr_job_romania_112007,112007 - Director Stiintific Cercetare-Dezvoltare,open
hr_job_romania_112008,112008 - Inspector Sanitar Sef,open
hr_job_romania_112009,112009 - Medic (Farmacist) Director,open
hr_job_romania_112010,112010 - Medic (Farmacist) Director Adjunct,open
hr_job_romania_112011,112011 - Director General Societate Comerciala,open
hr_job_romania_112012,112012 - Director General Adjunct Societate Comerciala,open
hr_job_romania_112013,112013 - Director De Program,open
hr_job_romania_112014,112014 - Director General Regie Autonoma,open
hr_job_romania_112015,112015 - Director General Adjunct Regie Autonoma,open
hr_job_romania_112016,112016 - Director Control Risc,open
hr_job_romania_112017,112017 - Director Comercial,open
hr_job_romania_112018,112018 - Director Vanzari,open
hr_job_romania_112019,"112019 - Director/Director Adjunct, Inspector-Sef",open
hr_job_romania_112020,112020 - Director Economic,open
hr_job_romania_112021,112021 - Director Magazin,open
hr_job_romania_112022,112022 - Sef Corp Executori Bancari,open
hr_job_romania_112023,112023 - Director Sucursala,open
hr_job_romania_112024,112024 - Director Tehnic,open
hr_job_romania_112025,112025 - Director General Institut National De Cercetaredezvoltare,open
hr_job_romania_112026,112026 - Director Incubator Tehnologic De Afaceri,open
hr_job_romania_112027,112027 - Director Departament Cercetare-Dezvoltare,open
hr_job_romania_112028,112028 - Manager General,open
hr_job_romania_112029,112029 - Manager,open
hr_job_romania_112030,112030 - Sef Cancelarie,open
hr_job_romania_112031,112031 - Director De Societate Comerciala Agricola,open
hr_job_romania_112032,112032 - Antreprenor In Economia Sociala,open
hr_job_romania_112033,112033 - Director Resurse Umane,open
hr_job_romania_112034,112034 - Inspector Scolar General Adjunct,open
hr_job_romania_112035,112035 - Director Casa Corpului Didactic,open
hr_job_romania_121101,121101 - Presedinte Banca/Vicepresedinte/Prim-Vicepresedinte,open
hr_job_romania_121102,121102 - Economist-Sef,open
hr_job_romania_121103,121103 - Inspector General Vanatoare,open
hr_job_romania_121104,121104 - Director Executiv Banca/Director/Director Adjunct,open
hr_job_romania_121105,121105 - Sef Departament Banca/Sef-Adjunct Departament,open
hr_job_romania_121106,121106 - Sef Proiect Banca,open
hr_job_romania_121107,121107 - Sef Serviciu/Sef Birou/Banca/Societate De Leasing,open
hr_job_romania_121108,121108 - Coordonator Compartiment/Colectiv Banca,open
hr_job_romania_121109,121109 - Dealer-Sef (Arbitragist Banca),open
hr_job_romania_121110,121110 - Director Unitate Bancara Operationala/Director Adjunct Unitate Bancara Operationala,open
hr_job_romania_121111,121111 - Sef Agentie Bancara,open
hr_job_romania_121112,121112 - Contabil-Sef/Director Financiar/Banca/Societate De Leasing,open
hr_job_romania_121113,121113 - Director De Arhiva Banca,open
hr_job_romania_121114,121114 - Director/Director Adjunct Divizie/Directie De Leasing,open
hr_job_romania_121116,121116 - Director/Director Executiv Conformitate,open
hr_job_romania_121117,121117 - Coordonator Conformitate,open
hr_job_romania_121118,121118 - Manager Securitatea Informatiei (Chief Information Security Officer - Ciso),open
hr_job_romania_121119,121119 - Comisar Sef Divizie Garda Financiara,open
hr_job_romania_121120,121120 - Contabil-Sef,open
hr_job_romania_121121,121121 - Controlor Financiar,open
hr_job_romania_121122,121122 - Sef Agentie Cec,open
hr_job_romania_121123,121123 - Sef Birou/Serviciu/Sectie Circumscriptie Financiara,open
hr_job_romania_121124,121124 - Sef Birou/Serviciu Financiar-Contabilitate,open
hr_job_romania_121125,121125 - Manager Financiar,open
hr_job_romania_121126,121126 - Manager Relatii Financiare Externe,open
hr_job_romania_121127,121127 - Controlor Revizor Financiar,open
hr_job_romania_121201,121201 - Sef Birou Calificare Si Recalificare,open
hr_job_romania_121202,121202 - Sef Birou Pensii,open
hr_job_romania_121203,121203 - Sef Birou Somaj,open
hr_job_romania_121204,121204 - Sef Oficiu Somaj,open
