id,name,siruta,country_id/id,zone_id/id,state_id/id,commune_id/id
RO_1160,Abrud,1160,base.ro,RO_C,l10n_ro.RO_AB,RO_1151
RO_1179,Abrud-Sat,1179,base.ro,RO_C,l10n_ro.RO_AB,RO_1151
RO_2595,Achimețești,2595,base.ro,RO_C,l10n_ro.RO_AB,RO_2577
RO_3413,Acmariu,3413,base.ro,RO_C,l10n_ro.RO_AB,RO_3397
RO_1222,Aiud,1222,base.ro,RO_C,l10n_ro.RO_AB,RO_1213
RO_1231,"Aiudul De Sus",1231,base.ro,RO_C,l10n_ro.RO_AB,RO_1213
RO_1026,"Alba Iulia",1026,base.ro,RO_C,l10n_ro.RO_AB,RO_1017
RO_2149,Albac,2149,base.ro,RO_C,l10n_ro.RO_AB,RO_2130
RO_7883,Alecuș,7883,base.ro,RO_C,l10n_ro.RO_AB,RO_7865
RO_2327,"Almașu De Mijloc",2327,base.ro,RO_C,l10n_ro.RO_AB,RO_2309
RO_2318,"Almașu Mare",2318,base.ro,RO_C,l10n_ro.RO_AB,RO_2309
RO_5595,Ampoița,5595,base.ro,RO_C,l10n_ro.RO_AB,RO_5577
RO_3477,Anghelești,3477,base.ro,RO_C,l10n_ro.RO_AB,RO_3459
RO_2390,Arieșeni,2390,base.ro,RO_C,l10n_ro.RO_AB,RO_2381
RO_3057,Aronești,3057,base.ro,RO_C,l10n_ro.RO_AB,RO_3039
RO_8032,Arți,8032,base.ro,RO_C,l10n_ro.RO_AB,RO_8014
RO_5238,Asinip,5238,base.ro,RO_C,l10n_ro.RO_AB,RO_5210
RO_2586,"Avram Iancu",2586,base.ro,RO_C,l10n_ro.RO_AB,RO_2577
RO_2407,Avrămești,2407,base.ro,RO_C,l10n_ro.RO_AB,RO_2381
RO_2602,Avrămești,2602,base.ro,RO_C,l10n_ro.RO_AB,RO_2577
RO_4785,Baba,4785,base.ro,RO_C,l10n_ro.RO_AB,RO_4767
RO_7847,Băcăinți,7847,base.ro,RO_C,l10n_ro.RO_AB,RO_7810
RO_2611,Bădăi,2611,base.ro,RO_C,l10n_ro.RO_AB,RO_2577
RO_5256,Băgău,5256,base.ro,RO_C,l10n_ro.RO_AB,RO_5210
RO_8443,Băi,8443,base.ro,RO_C,l10n_ro.RO_AB,RO_8425
RO_2924,"Baia De Arieș",2924,base.ro,RO_C,l10n_ro.RO_AB,RO_2915
RO_5121,Bălcaciu,5121,base.ro,RO_C,l10n_ro.RO_AB,RO_5103
RO_3066,Bălești,3066,base.ro,RO_C,l10n_ro.RO_AB,RO_3039
RO_3075,Bălești-Cătun,3075,base.ro,RO_C,l10n_ro.RO_AB,RO_3039
RO_6789,Bălmoșești,6789,base.ro,RO_C,l10n_ro.RO_AB,RO_6761
RO_7838,"Balomiru De Cîmp",7838,base.ro,RO_C,l10n_ro.RO_AB,RO_7810
RO_1035,Bărăbanț,1035,base.ro,RO_C,l10n_ro.RO_AB,RO_1017
RO_2158,Bărăști,2158,base.ro,RO_C,l10n_ro.RO_AB,RO_2130
RO_5844,Bărbești,5844,base.ro,RO_C,l10n_ro.RO_AB,RO_5826
RO_7464,Băzești,7464,base.ro,RO_C,l10n_ro.RO_AB,RO_7446
RO_8112,Beldiu,8112,base.ro,RO_C,l10n_ro.RO_AB,RO_8096
RO_4384,Benic,4384,base.ro,RO_C,l10n_ro.RO_AB,RO_4366
RO_2997,Berghin,2997,base.ro,RO_C,l10n_ro.RO_AB,RO_2988
RO_5247,Beța,5247,base.ro,RO_C,l10n_ro.RO_AB,RO_5210
RO_4026,Bidigești,4026,base.ro,RO_C,l10n_ro.RO_AB,RO_4008
RO_4543,Biharia,4543,base.ro,RO_C,l10n_ro.RO_AB,RO_4525
