id,code,risk_class,risk_rate,name
res_company_caen_1103,1103,1,0.15,Fabricarea cidrului si a altor vinurio din fructe
res_company_caen_1104,1104,1,0.15,"Fabricarea altor bauturi nedistilate, obtinute prin fermentare"
res_company_caen_1105,1105,4,0.26,Fabricarea berii
res_company_caen_1106,1106,1,0.15,Fabricarea maltului
res_company_caen_1107,1107,4.25,0.27,"Prod.de bauturi racorit.nealcoolice,  prod.de ape minerale si alte ape imbuteliate"
res_company_caen_1200,1200,2.25,196,Fabricarea produselor din tutun
res_company_caen_1310,1310,5.5,316,Pregatirea fibrelor si filarea fibrelor textile
res_company_caen_1320,1320,8.75,435,Productia de tesaturi
res_company_caen_1330,1330,1.75,178,Finisarea materialelor textile
res_company_caen_1391,1391,3,224,Fabricarea de metraje prin tricotare sau crosetare
res_company_caen_1392,1392,2.5,205,Fabric.de artic.confect. din textile (cu exceptia imbracamintei si lenjeriei de corp)
res_company_caen_1393,1393,1,0.15,Fabricarea de covoare si mochete
res_company_caen_1394,1394,2,187,"Fabricarea de odgoane, franghii, sfori si plase"
res_company_caen_1395,1395,2.25,196,"Fabric.de textile netesute si artic.din acestea, cu exceptia confect. de imbracam."
res_company_caen_1396,1396,2.75,214,Fabricarea de articole tehnice si industriale din textile
res_company_caen_1399,1399,4.25,0.27,Fabricarea altor articole textile n.c.a.
res_company_caen_1411,1411,1.25,159,Fabricarea articolelor de imbracaminte din piele
res_company_caen_1412,1412,2.75,214,Fabricarea de articole de imbracaminte pentru lucru
res_company_caen_1413,1413,2.25,196,Fabricarea altor articole de imbracaminte (exclusiv lenjeria de corp)
res_company_caen_1414,1414,2.5,205,Fabricarea de articole de lenjerie de corp
res_company_caen_1419,1419,3,224,Fabricarea altor articole de imbracaminte si accesorii n.c.a.
res_company_caen_1420,1420,1,0.15,Fabricarea articolelor din blana
res_company_caen_1431,1431,1.25,159,Fabricarea prin tricotare sau crosetare a ciorapilor si articolelor de galanterie
res_company_caen_1439,1439,2,187,Fabricarea prin tricotare sau crosetare a altor articole de imbracaminte
res_company_caen_1511,1511,1.5,168,"Tabacirea si finisarea pieilor,  prepararea si vopsirea blanurilor"
res_company_caen_1512,1512,1.75,178,Fabricarea articolelor de voiaj si marochinarie si a articolelor de harnasament
res_company_caen_1520,1520,2.75,214,Fabricarea incaltamintei
res_company_caen_1610,1610,5.5,316,Taierea si rindeluirea lemnului
res_company_caen_1621,1621,4,0.26,Fabricarea de furnire si a panourilor din lemn
res_company_caen_1622,1622,2.75,214,Fabricarea parchetului asamblat in panouri
res_company_caen_1623,1623,5.5,316,"Fabricarea altor elemente de dulgherie si tamplarie, pentru constructii"
res_company_caen_1624,1624,2,187,Fabricarea ambalajelor din lemn
res_company_caen_1629,1629,4.25,0.27,"Fabric.altor prod.din lemn;fabric.artic.din pluta,paie si din alte mat.veget.impletite"
res_company_caen_1711,1711,4.5,279,Fabricarea celulozei
res_company_caen_1712,1712,2.75,214,Fabricarea hartiei si cartonului
res_company_caen_1721,1721,5.5,316,Fabricarea hartiei si cartonului ondulat si a ambalajelor din hartie si carton
res_company_caen_1722,1722,1.75,178,"Fabricarea produselor de uz gospodaresc si sanitar, din hartie sau carton"
res_company_caen_1723,1723,1.75,178,Fabricarea articolelor de papetarie
res_company_caen_1724,1724,1,0.15,Fabricarea tapetului
res_company_caen_1729,1729,1,0.15,Fabricarea altor articole din hartie si carton n.c.a.
res_company_caen_1811,1811,1.5,168,Tiparirea ziarelor
res_company_caen_1812,1812,3,224,Alte activitati de tiparire n.c.a.
res_company_caen_1813,1813,1,0.15,Servicii pregatitoare pentru pretiparire
res_company_caen_1814,1814,1.5,168,Legatorie si servicii conexe
res_company_caen_1820,1820,1,0.15,Reproducerea inregistrarilor
res_company_caen_1910,1910,1,0.15,Fabricarea produselor de cocserie
res_company_caen_1920,1920,7.25,0.38,Fabricarea produselor obtinute din prelucrarea titeiului
res_company_caen_2011,2011,3.25,233,Fabricarea gazelor industriale
res_company_caen_2012,2012,3.5,242,Fabricarea colorantilor si a pigmentilor
res_company_caen_2013,2013,8.5,426,"Fabricarea altor produse chimice anorganice, de baza"
res_company_caen_2014,2014,6.75,362,"Fabricarea altor produse chimice organice, de baza"
res_company_caen_2015,2015,8,408,Fabricarea ingrasamintelor si produselor azotoase
res_company_caen_2016,2016,6,334,Fabricarea materialelor plastice in forme primare
res_company_caen_2017,2017,3.5,242,Fabricarea cauciucului sintetic in forme primare
res_company_caen_2020,2020,8,408,Fabricarea pesticidelor si a altor produse agrochimice
res_company_caen_2030,2030,8.5,426,"Fabricarea vopselelor, lacurilor, cernelii tipografice si masticurilor"
res_company_caen_2041,2041,3,224,"Fabricarea sapunurilor, detergentilor si a produselor de intretinere"
res_company_caen_2042,2042,4,0.26,Fabricarea parfumurilor si a produselor cosmetice (de toaleta)
res_company_caen_2051,2051,3.25,233,Fabricarea explozivilor
res_company_caen_2052,2052,1,0.15,Fabricarea cleiurilor
res_company_caen_2053,2053,1,0.15,Fabricarea uleiurilor esentiale
res_company_caen_2059,2059,8.25,417,Fabricarea altor produse chimice n.c.a.
res_company_caen_2060,2060,3.25,233,Fabricarea fibrelor sintetice si artificiale
res_company_caen_2110,2110,4.5,279,Fabricarea produselor farmaceutice de baza
res_company_caen_2120,2120,1.75,178,Fabricarea preparatelor farmaceutice
res_company_caen_2211,2211,4.5,279,"Fabricarea anvelopelor si a camerelor de aer,  resaparea si refacerea anvelopelor"
res_company_caen_2219,2219,2.75,214,Fabricarea altor produse din cauciuc
res_company_caen_2221,2221,3.25,233,"Fabricarea placilor, foliilor, tuburilor si profilelor din material plastic"
res_company_caen_2222,2222,2.75,214,Fabricarea articolelor de ambalaj din material plastic
res_company_caen_2223,2223,2.75,214,Fabricarea articolelor din material plastic pentru constructii
res_company_caen_2229,2229,2.25,196,Fabricarea altor produse din material plastic
res_company_caen_2311,2311,5.5,316,Fabricarea sticlei plate
res_company_caen_2312,2312,1.5,168,Prelucrarea si fasonarea sticlei plate
res_company_caen_2313,2313,9,444,Fabricarea articolelor din sticla
res_company_caen_2314,2314,6,334,Fabricarea fibrelor din sticla
res_company_caen_2319,2319,2.25,196,Fabricarea de sticlarie tehnica
res_company_caen_2320,2320,9.25,454,Fabricarea de produse refractare
res_company_caen_2331,2331,5,297,Fabricarea placilor si dalelor din ceramica
res_company_caen_2332,2332,4.25,0.27,"Fabricarea caramizilor, tiglelor si altor produse pentru constructii, din argila arsa"
res_company_caen_2341,2341,4,0.26,Fabricarea articolelor ceramice pentru uz gospodaresc si ornamental
res_company_caen_2342,2342,6.75,362,Fabricarea de obiecte sanitare din ceramica
res_company_caen_2343,2343,4.75,288,Fabricarea izolatorilor si pieselor izolante din ceramica
res_company_caen_2344,2344,4,0.26,Fabricarea altor produse tehnice din ceramica
res_company_caen_2349,2349,7.75,398,Fabricarea altor produse ceramice n.c.a.
res_company_caen_2351,2351,7.25,0.38,Fabricarea cimentului
res_company_caen_2352,2352,6.25,343,Fabricarea varului si ipsosului
res_company_caen_2361,2361,4,0.26,Fabricarea produselor din beton pentru constructii
res_company_caen_2362,2362,4.25,0.27,Fabricarea produselor din ipsos pentru constructii
res_company_caen_2363,2363,4,0.26,Fabricarea betonului
res_company_caen_2364,2364,2.25,196,Fabricarea mortarului
res_company_caen_2365,2365,8.25,417,Fabricarea produselor din azbociment
res_company_caen_2369,2369,1.25,159,"Fabricarea altor articole din beton, ciment si ipsos"
res_company_caen_2370,2370,7.25,0.38,"Taierea, fasonarea si finisarea pietrei"
res_company_caen_2391,2391,4,0.26,Fabricarea produselor abrazive
res_company_caen_2399,2399,9.75,472,Fabricarea altor produse din minerale nemetalice n.c.a.
res_company_caen_2410,2410,9.5,463,Productia de metale feroase sub forme primare si de feroaliaje
res_company_caen_2420,2420,10.5,0.5,"Productia de tuburi, tevi, profile tubulare si accesorii pentru acestea, din otel"
res_company_caen_2431,2431,8.25,417,Tragere la rece a barelor
res_company_caen_2432,2432,6.25,343,Laminare la rece a benzilor inguste
res_company_caen_2433,2433,5,297,Productia de profile obtinute la rece
res_company_caen_2434,2434,4.5,279,Trefilarea firelor la rece
res_company_caen_2441,2441,1,0.15,Productia metalelor pretioase
res_company_caen_2442,2442,10.25,0.49,Metalurgia aluminiului
res_company_caen_2443,2443,12,555,"Productia plumbului, zincului si cositorului"
res_company_caen_2444,2444,7.5,389,Metalurgia cuprului
res_company_caen_2445,2445,10.75,509,Productia altor metale neferoase
res_company_caen_2446,2446,5.75,325,Prelucrarea combustibililor nucleari
res_company_caen_2451,2451,10.75,509,Turnarea fontei
res_company_caen_2452,2452,7.25,0.38,Turnarea otelului
res_company_caen_2453,2453,6.5,352,Turnarea metalelor neferoase usoare
res_company_caen_2454,2454,3,224,Turnarea altor metale neferoase
res_company_caen_2511,2511,4.5,279,Fabricarea de constructii metalice si parti componente ale structurilor metalice
res_company_caen_2512,2512,2.75,214,Fabricarea de usi si ferestre din metal
res_company_caen_2521,2521,5.25,306,Productia de radiatoare si cazane pentru incalzire centrala
res_company_caen_2529,2529,5.5,316,"Productia de rezervoare, cisterne si containere metalice"
res_company_caen_2530,2530,3.75,251,Prod.generatoarelor de aburi (cu exceptia cazanelor pentru incalzire centrala)
res_company_caen_2540,2540,7.5,389,Fabricarea armamentului si munitiei
res_company_caen_2550,2550,4.5,279,"Fabric.produselor metalice obtinute prin deformare plastica, metalurgia pulberilor"
res_company_caen_2561,2561,3.5,242,Tratarea si acoperirea metalelor
res_company_caen_2562,2562,5,297,Operatiuni de mecanica generala
res_company_caen_2571,2571,3.5,242,Fabricarea produselor de taiat
res_company_caen_2572,2572,4,0.26,Fabricarea articolelor de feronerie
res_company_caen_2573,2573,5.75,325,Fabricarea uneltelor
res_company_caen_2591,2591,2.5,205,"Fabricarea de recipienti, containere si alte produse similare din otel"
res_company_caen_2592,2592,1.75,178,Fabricarea ambalajelor usoare din metal
res_company_caen_2593,2593,2.25,196,"Fabricarea articolelor din fire metalice,  fabricarea de lanturi si arcuri"
res_company_caen_2594,2594,4,0.26,"Fabric.de suruburi, buloane si alte articole filetate; fabricarea de nituri si saibe"
res_company_caen_2599,2599,4.5,279,Fabricarea altor articole din metal n.c.a.
res_company_caen_2611,2611,2.5,205,Fabricarea subansambluri lor electronice (module)
res_company_caen_2612,2612,1.25,159,Fabricarea altor componente electronice
res_company_caen_2620,2620,2,187,Fabricarea calculatoarelor si a echipamentelor periferice
res_company_caen_2630,2630,1.25,159,Fabricarea echipamentelor de comunicatii
res_company_caen_2640,2640,2.5,205,Fabricarea produselor electronice de larg consum
res_company_caen_2651,2651,2.25,196,"Fabric.de instrumente si dispozitive pentru masura, verificare, control, navigatie"
res_company_caen_2652,2652,5.75,325,Productia de ceasuri
res_company_caen_2660,2660,1.5,168,"Fabricarea de echipamente pentru radiologie, electrodiagnostic si electroterapie"
res_company_caen_2670,2670,1.5,168,Fabricarea de instrumente optice si echipamente fotografice
res_company_caen_2680,2680,1,0.15,Fabricarea suportilor magnetici si optici destinati inregistrarilor
res_company_caen_2711,2711,8,408,"Fabricarea motoarelor, generatoarelor si transformatoarelor electrice"
res_company_caen_2712,2712,3.25,233,Fabricarea aparatelor de distributie si control a electricitatii
res_company_caen_2720,2720,8,408,Fabricarea de acumulatori si baterii
res_company_caen_2731,2731,1,0.15,Fabricarea de cabluri cu fibra optica
res_company_caen_2732,2732,4.25,0.27,Fabricarea altor fire si cabluri electrice si electronice
res_company_caen_2733,2733,1,0.15,Fabric.dispozitivelor de conexiune pentru fire si cabluri electrice si electronice
res_company_caen_2740,2740,3,224,Fabricarea de echipamente electrice de iluminat
res_company_caen_2751,2751,5.25,306,Fabricarea de aparate electrocasnice
res_company_caen_2752,2752,7.5,389,Fabricarea de echipamente casnice neelectrice
res_company_caen_2790,2790,6.5,352,Fabricarea altor echipamente electrice
res_company_caen_2811,2811,7.5,389,"Fabric.de mot.si turbine(cu exceptia celor pentru avioane, autoveh.si motociclete)"
res_company_caen_2812,2812,7.25,0.38,Fabricarea de motoare hidraulice
res_company_caen_2813,2813,8.75,435,Fabricarea de pompe si compresoare
res_company_caen_2814,2814,11,518,Fabricarea de articole de robinetarie
res_company_caen_2815,2815,5.25,306,"Fabric.lagarelor,angrenajelor, cutiilor de viteza si a elem.mecanice de transmisie"
res_company_caen_2821,2821,5.5,316,"Fabricarea cuptoarelor, furnalelor si arzatoarelor"
res_company_caen_2822,2822,8,408,Fabricarea echipamentelor de ridicat si manipulat
res_company_caen_2823,2823,1.5,168,Fabricarea masinilor si echipamentelor de birou (exclusiv fabricarea calculatoarelor si a echipamentelor periferice)
res_company_caen_2824,2824,2,187,Fabricarea masinilor-unelte portabile actionate electric
res_company_caen_2825,2825,1.75,178,"Fabric.echip.de ventilatie si frigorifice, exclusiv a echipamentelor de uz casnic"
res_company_caen_2829,2829,3,224,Fabricarea altor masini si utilaje de utilizare generala
res_company_caen_2830,2830,9.25,454,Fabricarea masinilor si utilajelor pentru agricultura si exploatari forestiere
res_company_caen_2841,2841,4.25,0.27,Fabricarea utilajelor si a masinilor-unelte pentru prelucrarea metalului
res_company_caen_2849,2849,6.75,362,Fabricarea altor masini-unelte n.c.a.
res_company_caen_2891,2891,5.5,316,Fabricarea utilajelor pentru metalurgie
res_company_caen_2892,2892,8.25,417,Fabricarea utilajelor pentru extractie si constructii
res_company_caen_2893,2893,5.75,325,"Fabric.utilajelor pentru prelucrarea produselor alimentare, bauturilor si tutunului"
res_company_caen_2894,2894,1.75,178,"Fabricarea utilajelor pentru industria textila, a imbracamintei si a pielariei"
res_company_caen_2895,2895,1,0.15,Fabricarea utilajelor pentru industria hartiei si cartonului
res_company_caen_2896,2896,1,0.15,Fabricarea utilajelor pentru prelucrarea maselor plastice si a cauciucului
res_company_caen_2899,2899,4.75,288,Fabricarea altor masini si utilaje specifice n.c.a.
res_company_caen_2910,2910,10,481,Fabricarea autovehiculelor de transport rutier
res_company_caen_2920,2920,2.75,214,"Productia de caroserii pentru autovehicule, fabricarea de remorci si semiremorci"
res_company_caen_2931,2931,2.25,196,Fabricarea de echipamente electrice si electronice pentru autovehicule simotoare de autovehicule
res_company_caen_2932,2932,5.25,306,Fabric.altor piese si accesorii pentru autoveh. si pentru motoare de autovehicule
res_company_caen_3011,3011,8.75,435,Constructia de nave si structuri plutitoare
res_company_caen_3012,3012,1,0.15,Constructia de ambarcatiuni sportive si de agrement
res_company_caen_3020,3020,8.25,417,Fabricarea materialului rulant
res_company_caen_3030,3030,7.25,0.38,Fabricarea de aeronave si nave spatiale
res_company_caen_3040,3040,1,0.15,Fabricarea vehiculelor militare de lupta
res_company_caen_3091,3091,1,0.15,Fabricarea de motociclete
res_company_caen_3092,3092,2.25,196,Fabricarea de biciclete si de vehicule pentru invalizi
res_company_caen_3099,3099,1,0.15,Fabricarea altor mijloace de transport n.c.a.
res_company_caen_3101,3101,3.75,251,Fabricarea de mobila pentru birouri si magazine
res_company_caen_3102,3102,3.25,233,Fabricarea de mobila pentru bucatarii
res_company_caen_3103,3103,1.75,178,Fabricarea de saltele si somiere
res_company_caen_3109,3109,4.75,288,Fabricarea de mobila n.c.a.
res_company_caen_3211,3211,1,0.15,Baterea monedelor
