id,code,risk_class,risk_rate,name
res_company_caen_4633,4633,2.5,205,"Comert cu ridicata al prod.lactate, oualor, uleiurilor si grasimilor comestibile"
res_company_caen_4634,4634,2,187,Comert cu ridicata al bauturilor
res_company_caen_4635,4635,1.25,159,Comert cu ridicata al produselor din tutun
res_company_caen_4636,4636,1.25,159,"Comert cu ridicata al zaharului, ciocolatei si produselor zaharoase"
res_company_caen_4637,4637,1.5,168,"Comert cu ridicata cu cafea, ceai, cacao si condimente"
res_company_caen_4638,4638,2.75,214,"Comert cu ridicata specializat al altor alim., inclusiv peste, crustacee si moluste"
res_company_caen_4639,4639,3,224,"Comert cu ridicata nespecializat de produse alimentare, bauturi si tutun"
res_company_caen_4641,4641,1.5,168,Comert cu ridicata al produselor textile
res_company_caen_4642,4642,1.5,168,Comert cu ridicata al imbracamintei si incaltamintei
res_company_caen_4643,4643,1.25,159,"Comert cu ridicata al aparatelor electrice de uz gospodaresc, al aparatelor deradio si televizoarelor"
res_company_caen_4644,4644,2.5,205,"Comert cu ridicata al produselor din ceramica, sticlarie si produse de intretinere"
res_company_caen_4645,4645,1.5,168,Comert cu ridicata al produselor cosmetice si de parfumerie
res_company_caen_4646,4646,1.75,178,Comert cu ridicata al produselor farmaceutice
res_company_caen_4647,4647,2.75,214,"Comert cu ridicata al mobilei, covoarelor si a articolelor de iluminat"
res_company_caen_4648,4648,1,0.15,Comert cu ridicata al ceasurilor si bijuteriilor
res_company_caen_4649,4649,1.25,159,Comert cu ridicata al altor bunuri de uz gospodaresc
res_company_caen_4651,4651,2.25,196,"Comert cu ridicata al calculatoarelor, echipamentelor periferice si software-lui"
res_company_caen_4652,4652,1.25,159,Comert cu ridicata de componente si echipamente electronice si de telecomunicatii
res_company_caen_4661,4661,2.75,214,"Comert cu ridicata al masinilor agricole, echipamentelor si furniturilor"
res_company_caen_4662,4662,1.75,178,Comert cu ridicata al masinilor-unelte
res_company_caen_4663,4663,1.75,178,Comert cu ridicata al masinilor pentru industria miniera si constructii
res_company_caen_4664,4664,2,187,Comert cu ridicata al masinilor pentru industria textila si al masinilor de cusut side tricotat
res_company_caen_4665,4665,1,0.15,Comert cu ridicata al mobilei de birou
res_company_caen_4666,4666,1,0.15,Comert cu ridicata al altor masini si echipamente de birou
res_company_caen_4669,4669,2,187,Comert cu ridicata al altor masini si echipamente
res_company_caen_4671,4671,3.5,242,"Comert cu ridicata al combustibililor solizi, lichizi si gazosi si al prod. derivate"
res_company_caen_4672,4672,2.75,214,Comert cu ridicata al metalelor si minereurilor metalice
res_company_caen_4673,4673,2.5,205,Comert cu ridicata al materialului lemnos si a materialelor de constructie si echipamentelor sanitare
res_company_caen_4674,4674,1.5,168,Comert cu ridicata al echipamentelor si furniturilor de fierarie pentru instalatii sanitare si de incalzire
res_company_caen_4675,4675,2.25,196,Comert cu ridicata al produselor chimice
res_company_caen_4676,4676,1,0.15,Comert cu ridicata al altor produse intermediare
res_company_caen_4677,4677,4,0.26,Comert cu ridicata al deseurilor si resturilor
res_company_caen_4690,4690,2.25,196,Comert cu ridicata nespecializat
res_company_caen_4711,4711,2,187,"Comert cu amanuntul in magazine nespecializate, cu vanzare predominanta de produse alimentare, bauturi si tutun"
res_company_caen_4719,4719,1,0.15,"Comert cu amanuntul in magazine nespecializate, cu vanzare predominanta de produse nealimentare"
res_company_caen_4721,4721,3,224,"Comert cu amanuntul al fructelor si leg. proaspete, in magazine specializate"
res_company_caen_4722,4722,2,187,"Comert cu amanuntul al carnii si al produselor din carne, in magazine specializate"
res_company_caen_4723,4723,1.5,168,"Comert cu amanuntul al pestelui, crustaceelor si molustelor, in magazine specializate"
res_company_caen_4724,4724,2.25,196,"Comert cu amanuntul al painii, produselor de patiserie si produselor zaharoase, in magazine specializate"
res_company_caen_4725,4725,1,0.15,"Comert cu amanuntul al bauturilor, in magazine specializate"
res_company_caen_4726,4726,1,0.15,"Comert cu amanuntul al produselor din tutun, in magazine specializate"
res_company_caen_4729,4729,1.5,168,"Comert cu amanuntul al altor produse alimentare , in magazine specializate"
res_company_caen_4730,4730,2.25,196,"Comert cu amanuntul al carburantilor pentru autovehicule, in magazine specializate"
res_company_caen_4741,4741,2.25,196,"Comert cu amanuntul al calculatoarelor, unitatilor periferice si software-lui, in magazine specializate"
res_company_caen_4742,4742,1.25,159,Comert cu amanuntul al echip.pentru telecomunicatii in magazine specializate
res_company_caen_4743,4743,1,0.15,Comert cu amanuntul al echipamentelor audio/video in magazine specializate
res_company_caen_4751,4751,3,224,"Comert cu amanuntul al textilelor, in magazine specializate"
res_company_caen_4752,4752,2.25,196,"Comert cu amanuntul al articolelor de fierarie, al articolelor din sticla si a celor pentru vopsit, in magazine specializate"
res_company_caen_4753,4753,1,0.15,"Comert cu amanuntul al covoarelor, carpetelor, tapetelor si a altor acoperitoare de podea, in magazine specializate"
res_company_caen_4754,4754,2,187,"Comert cu amanuntul al artic. si aparat.electrocasnice, in magazine specializate"
res_company_caen_4759,4759,2.25,196,"Comert cu amanuntul al mobilei, al articolelor de iluminat si al articolelor de uz casnic n.c.a., in magazine specializate"
res_company_caen_4761,4761,2,187,"Comert cu amanuntul al cartilor, in magazine specializate"
res_company_caen_4762,4762,2.25,196,"Comert cu amanuntul al ziarelor si articolelor de papetarie, in magazine specializate"
res_company_caen_4763,4763,1,0.15,"Comert cu amanuntul al discurilor si benzilor magnetice cu sau fara inregistrari audio/video, in magazine specializate"
res_company_caen_4764,4764,1.5,168,"Comert cu amanuntul al echipamentelor sportive, in magazine specializate"
res_company_caen_4765,4765,1,0.15,"Comert cu amanuntul al jocurilor si jucariilor, in magazine specializate"
res_company_caen_4771,4771,1.25,159,"Comert cu amanuntul al imbracamintei, in magazine specializate"
res_company_caen_4772,4772,1.75,178,"Comert cu amanuntul al incaltamintei si articolelor din piele, in magazine specializate"
res_company_caen_4773,4773,1,0.15,"Comert cu amanuntul al produselor farmaceutice, in magazine specializate"
res_company_caen_4774,4774,1,0.15,"Comert cu amanuntul al articolelor medicale si ortopedice, in magazine specializate"
res_company_caen_4775,4775,1,0.15,"Comert cu amanuntul al prod.cosmetice si de parfumerie, in magazine specializ."
res_company_caen_4776,4776,1,0.15,"Comert cu amanuntul al florilor, plantelor si semintelor, comert cu amanuntul al animalelor de companie si a hranei pentru acestea, in magazine specializate"
res_company_caen_4777,4777,1.25,159,"Comert cu amanuntul al ceasurilor si bijuteriilor, in magazine specializate"
res_company_caen_4778,4778,2,187,"Comert cu ananuntul al altor bunuri noi, in magazine specializate"
res_company_caen_4779,4779,2.25,196,Comert cu amanuntul al bunurilor de ocazie vandute prin magazine
res_company_caen_4781,4781,1,0.15,"Comert cu amanuntul al produselor alimentare, bauturilor si produselor din tutun, efectuat prin standuri, chioscuri si piete"
res_company_caen_4782,4782,1,0.15,"Comert cu amanuntul al textilelor, imbracamintei si incaltamintei efectuat prin standuri, chioscuri si piete"
res_company_caen_4789,4789,1,0.15,"Comert cu amanuntul prin standuri, chioscuri si piete al altor produse"
res_company_caen_4791,4791,1,0.15,Comert cu amanuntul prin intermediul caselor de comenzi sau prin internet
res_company_caen_4799,4799,2,187,"Comert cu amanuntul efect.in afara magazinelor,standurilor,chioscurilor si pietelor"
res_company_caen_4910,4910,6,334,Trasporturi interurbane de calatori pe calea ferata
res_company_caen_4920,4920,3.25,233,Transporturi de marfa pe calea ferata
res_company_caen_4931,4931,10,481,"Transporturi urbane, suburbane si metropolitane de calatori"
res_company_caen_4932,4932,2.5,205,Transporturi cu taxiuri
res_company_caen_4939,4939,3.5,242,Alte transporturi terestre de calatori n.c.a.
res_company_caen_4941,4941,3.5,242,Transporturi rutiere de marfuri
res_company_caen_4942,4942,2.25,196,Servicii de mutare
res_company_caen_4950,4950,3.25,233,Transporturi prin conducte
res_company_caen_5010,5010,3.75,251,Transporturi maritime si costiere de pasageri
res_company_caen_5020,5020,1,0.15,Transporturi maritime si costiere de marfa
res_company_caen_5030,5030,4.5,279,Transportul de pasageri pe cai navigabile interioare
res_company_caen_5040,5040,4.5,279,Transportul de marfa pe cai navigabile interioare
res_company_caen_5110,5110,6.25,343,Transporturi aeriere de pasageri
res_company_caen_5121,5121,5,297,Transporturi aeriene de marfa
res_company_caen_5210,5210,5.25,306,Depozitari
res_company_caen_5221,5221,3.25,233,Activitati de servicii anexe pentru transporturi terestre
res_company_caen_5222,5222,4,0.26,Activitati de servicii anexe transporturilor pe apa
res_company_caen_5223,5223,2.25,196,Activitati de servicii anexe transporturilor aeriene
res_company_caen_5224,5224,7,371,Manipulari
res_company_caen_5229,5229,1.75,178,Alte activitati anexe transporturilor
res_company_caen_5310,5310,2.5,205,Activitati postale desfasurate sub obligativitatea serviciului universal
res_company_caen_5320,5320,2.5,205,Alte activitati postale si de curier
res_company_caen_5510,5510,1.75,178,Hoteluri si alte facilitati de cazare similare
res_company_caen_5520,5520,1,0.15,Facilitati de cazare pentru vacante si perioade de scurta durata
res_company_caen_5530,5530,3.25,233,"Parcuri pentru rulote, campinguri si tabere"
res_company_caen_5590,5590,1.75,178,Alte servicii de cazare
res_company_caen_5610,5610,2,187,Restaurante
res_company_caen_5621,5621,2.75,214,Activitati de alimentatie (catering) pentru evenimente
res_company_caen_5629,5629,2.25,196,Alte servicii de alimentatie n.c.a.
res_company_caen_5630,5630,2,187,Baruri si alte activitati de servire a bauturilor
res_company_caen_5811,5811,1.25,159,Activitati de editare a cartilor
res_company_caen_5812,5812,1,0.15,"Activitati de editare de ghiduri, compendii, liste de adrese si similare"
res_company_caen_5813,5813,2,187,Activitati de editare a ziarelor
res_company_caen_5814,5814,1,0.15,Activitati de editare a revistelor si periodicelor
res_company_caen_5819,5819,1,0.15,Alte activitati de editare
res_company_caen_5821,5821,1,0.15,Activitati de editare a jocurilor de calculator
res_company_caen_5829,5829,1.25,159,Activitati de editare a altor produse software
res_company_caen_5911,5911,1,0.15,"Activitati de productie cinematografica, video si de programe de televiziune"
res_company_caen_5912,5912,1,0.15,"Activitati post-productie cinematografica, video si de programe de televiziune"
res_company_caen_5913,5913,1,0.15,"Activitati de distributie a filmelor cinematografice, video si a programelor de televiziune"
res_company_caen_5914,5914,1,0.15,Proiectia de filme cinematografice
res_company_caen_5920,5920,1.5,168,Activitati de realizare a inregistrarilor audio si activitati de editare muzicala
res_company_caen_6010,6010,3.25,233,Activitati de difuzare a programelor de radio
res_company_caen_6020,6020,2.75,214,Activitati de difuzare a programelor de televiziune
res_company_caen_6110,6110,2.75,214,Activitati de telecomunicatii prin retele cu cablu
res_company_caen_6120,6120,2,187,Activitati de telecomunicatii prin retele fara cablu (exclusiv prin satelit)
res_company_caen_6130,6130,1,0.15,Activitati de telecomunicatii prin satelit
res_company_caen_6190,6190,2.5,205,Alte activitati de telecomunicatii
res_company_caen_6201,6201,1,0.15,Activitati de realizare a soft-ului la comanda (software orientat client)
res_company_caen_6202,6202,1,0.15,Activitati de consultanta in tehnologia informatiei
res_company_caen_6203,6203,1.5,168,Activitati de management (gestiune ti exploatare) a mijloacelor de calcul
res_company_caen_6209,6209,2.5,205,Alte activitati de servicii privind tehnologia informatiei
res_company_caen_6311,6311,2.75,214,"Prelucrarea datelor, administrarea paginilor web si activitati conexe"
res_company_caen_6312,6312,2,187,Activitati ale portalurilor web
res_company_caen_6391,6391,1,0.15,Activitati ale agentiilor de stiri
res_company_caen_6399,6399,2.25,196,Alte activitati de servicii informationale n.c.a.
res_company_caen_6411,6411,1.75,178,Activitati ale bancii centrale (nationale)
res_company_caen_6419,6419,1.75,178,Alte activitati de intermedieri monetare
res_company_caen_6420,6420,3.5,242,Activitati ale holdingurilor
res_company_caen_6430,6430,1,0.15,Fonduri mutuale si alte entitati financiare similare
res_company_caen_6491,6491,1.5,168,Leasing financiar
res_company_caen_6492,6492,1.25,159,Alte activitati de creditare
res_company_caen_6499,6499,1.5,168,Alte intermedieri financiare n.c.a.
res_company_caen_6511,6511,1.25,159,Activitati de asigurari de viata
res_company_caen_6512,6512,2.5,205,Alte activitati de asigurari (exceptand asigurarile de viata)
res_company_caen_6520,6520,1,0.15,Activitati de reasigurare
res_company_caen_6530,6530,1,0.15,Activit.ale fond.de pensii (cu exceptia celor din sist. public de asigurari sociale)
res_company_caen_6611,6611,1,0.15,Administrarea pietelor financiare
res_company_caen_6612,6612,2.25,196,Activitati de intermediere a tranzactiilor financiare
res_company_caen_6619,6619,1.5,168,"Activit.auxiliare intermed.financiare, exclusiv activitati de asig.si fonduri de pensii"
res_company_caen_6621,6621,1,0.15,Activitati de evaluare a riscului de asigurare si a pagubelor
res_company_caen_6622,6622,1,0.15,Activitati ale agentilor si broker-ilor de asigurari
res_company_caen_6629,6629,1,0.15,Alte activitati auxiliare de asigurari si fonduri de pensii
res_company_caen_6630,6630,4.5,279,Activitati de administrare a fondurilor
res_company_caen_6810,6810,2.5,205,Cumpararea si vanzarea de bunuri imobiliare proprii
res_company_caen_6820,6820,2.25,196,inchirierea si subinchirierea bunurilor imobiliare proprii sau inchiriate
res_company_caen_6831,6831,1,0.15,Agentii imobiliare
res_company_caen_6832,6832,1.25,159,Administrarea imobilelor pe baza de comision sau contract
res_company_caen_6910,6910,2.25,196,Activitati juridice
res_company_caen_6920,6920,1,0.15,"Activitati de contabilitate si audit financiar, consultanta in domeniul fiscal"
res_company_caen_7010,7010,2.5,205,"Activitati ale directiilor (centralelor), birourilor administrative centralizate"
res_company_caen_7021,7021,1,0.15,Activitati de consultanta in domeniul relatiilor publice si al comunicarii
res_company_caen_7022,7022,1.5,168,Activitati de consultanta pentru afaceri si management
res_company_caen_7111,7111,1.25,159,Activitati de arhitectura
res_company_caen_7112,7112,2.5,205,Activitati de inginerie si consultanta tehnica legate de acestea
res_company_caen_7120,7120,2.5,205,Activitati de testari si analize tehnice
res_company_caen_7211,7211,4.25,0.27,Cercetare-dezvoltare in biotehnologie
res_company_caen_7219,7219,3.75,251,Cercetare-dezvoltare in alte stiinte naturale si inginerie
res_company_caen_7220,7220,2.75,214,Cercetare-dezvoltare in stiinte sociale si umaniste
res_company_caen_7311,7311,1.75,178,Activitati ale agentiilor de publicitate
res_company_caen_7312,7312,1,0.15,Servicii de reprezentare media
res_company_caen_7320,7320,1.25,159,Activitati de studiere a pietei si de sondare a opiniei publice
res_company_caen_7410,7410,1.25,159,Activitati de design specializat
res_company_caen_7420,7420,2,187,Activitati fotografice
res_company_caen_7430,7430,1.25,159,Activitati de traducere scrisa si orala (interpreti)
res_company_caen_7490,7490,2,187,"Alte activitati profesionale, stiintifice si tehnice, n.c.a."
res_company_caen_7500,7500,2.25,196,Activitati veterinare
res_company_caen_7711,7711,3.5,242,Activitati de inchiriere si leasing cu autoturisme si autovehicule rutiere usoare
res_company_caen_7712,7712,1,0.15,Activitati de inchiriere si leasing cu autovehicule rutiere grele
res_company_caen_7721,7721,1,0.15,Activitati de inchiriere si leasing cu bunuri recreationale si echipament sportiv
res_company_caen_7722,7722,1,0.15,inchirierea de casete video si discuri
res_company_caen_7729,7729,1,0.15,Activitati de inchiriere si leasing cu alte bunuri personale si gospodaresti n.c.a.
res_company_caen_7731,7731,1,0.15,Activitati de inchiriere si leasing cu masini si echipamente agricole
res_company_caen_7732,7732,3.25,233,Activitati de inchiriere si leasing cu masini si echipamente pentru constructii
res_company_caen_7733,7733,1,0.15,Activit.de inchiriere si leasing cu mas. si echipam.de birou (inclusiv calculatoare)
res_company_caen_7734,7734,1,0.15,Activitati de inchiriere si leasing cu echipamente de transport pe apa
res_company_caen_7735,7735,1,0.15,Activitati de inchiriere si leasing cu echipamente de transport aerian
res_company_caen_7739,7739,3.75,251,"Activitati de inchiriere si leasing cu alte masini, echip. si bunuri tangibile n.c.a."
res_company_caen_7740,7740,1,0.15,Leasing cu bunuri intangibile (exclusiv financiare)
res_company_caen_7810,7810,1,0.15,Activitati ale agentiilor de plasare a fortei de munca
res_company_caen_7820,7820,2.5,205,"Activitati de contractare, pe baze temporare, a personalului"
res_company_caen_7830,7830,1,0.15,Servicii de furnizare si management a fortei de munca
res_company_caen_7911,7911,1.25,159,Activitati ale agentiilor turistice
res_company_caen_7912,7912,1,0.15,Activitati ale tur-operatorilor
res_company_caen_7990,7990,2.25,196,Alte activitati de rezervare si asistenta turistica
res_company_caen_8010,8010,2.5,205,Activitati de protectie si garda
res_company_caen_8020,8020,2,187,Activitati de servicii privind sistemele de securizare
res_company_caen_8030,8030,1.5,168,Activitati de investigatii
res_company_caen_8110,8110,1.75,178,Activitati de servicii suport combinate
res_company_caen_8121,8121,1.75,178,Activitati generale de curatenie a cladirilor
res_company_caen_8122,8122,3.75,251,Activitati specializate de curatenie
res_company_caen_8129,8129,3.5,242,Alte activitati de curatenie
res_company_caen_8130,8130,3.25,233,Activitati de intretinere peisagistica
res_company_caen_8211,8211,1,0.15,Activitati combinate de secretariat
res_company_caen_8219,8219,3.25,233,"Activit.de fotocop., de pregatire a docum.si alte activit.specializate de secretariat"
res_company_caen_8220,8220,1.25,159,Activitati ale centrelor de intermediere telefonica (call center)
res_company_caen_8230,8230,1,0.15,"Activitati de organizare a expozitiilor, targurilor si congreselor"
res_company_caen_8291,8291,1,0.15,Activit.ale agentiilor de colectare si a birourilor (oficiilor) de raportare a creditului
res_company_caen_8292,8292,1.5,168,Activitati de ambalare
res_company_caen_8299,8299,1.75,178,Alte activitati de servicii suport pentru intreprinderi n.c.a.
res_company_caen_8411,8411,1,0.15,Servicii de administrare publica generala
res_company_caen_8412,8412,1.75,178,"Reglementarea activitatilor organismelor care presteaza servicii in domeniul ingrijirii sanatatii, invatamantului, culturii si al altor activitati sociale, exclusiv protectia sociala"
res_company_caen_8413,8413,2.75,214,Reglementarea si eficientizarea activitatilor economice
res_company_caen_8421,8421,1,0.15,Activitati de afaceri externe
res_company_caen_8423,8423,1.25,159,Activitati de justitie
res_company_caen_8424,8424,4,0.26,Activitati de ordine publica si de protectie civila
res_company_caen_8425,8425,5.75,325,Activitati de lupta impotriva incendiilor si de prevenire a acestora
res_company_caen_8430,8430,1,0.15,Activitati de protectie sociala obligatorie
res_company_caen_8510,8510,1.5,168,invatamant prescolar
res_company_caen_8520,8520,2.25,196,invatamant primar
res_company_caen_8531,8531,1.25,159,invatamant secundar general
res_company_caen_8532,8532,2,187,"invatamant secundar, tehnic sau profesional"
res_company_caen_8541,8541,1,0.15,invatamant superior non-universitar
res_company_caen_8542,8542,2,187,invatamant superior universitar
res_company_caen_8551,8551,1.25,159,invatamant in domeniul sportiv si recreational
res_company_caen_8552,8552,1.25,159,"invatamant in dom.cultural (limbi straine, muzica, teatru, dans, arte plastice, etc.)"
res_company_caen_8553,8553,1.25,159,scoli de conducere (pilotaj)
res_company_caen_8559,8559,1.25,159,Alte forme de invatamant n.c.a.
res_company_caen_8560,8560,1,0.15,Activitati de servicii suport pentru invatamant
res_company_caen_8610,8610,4.5,279,Activitati de asistenta spitaliceasca
res_company_caen_8621,8621,1.5,168,Activitati de asistenta medicala generala
res_company_caen_8622,8622,2.25,196,Activitati de asistenta medicala specializata
res_company_caen_8623,8623,1.25,159,Activitati de asistenta stomatologica
res_company_caen_8690,8690,2.75,214,Alte activitati referitoare la sanatatea umana
res_company_caen_8710,8710,5.25,306,Activitati ale centrelor de ingrijire medicala
res_company_caen_8720,8720,3.5,242,"Activitati ale centrelor de recuperare psihica si de dezintoxicare, exclusiv spitale"
res_company_caen_8730,8730,3.5,242,Activitati ale caminelor de batrani si ale caminelor pentru persoane aflate in incapacitate de a se ingriji singure
res_company_caen_8790,8790,1.25,159,"Alte activitati de asistenta sociala, cu cazare n.c.a."
res_company_caen_8810,8810,1.25,159,"Activitati de asistenta sociala, fara cazare, pentru batrani si pentru persoane aflate in incapacitate de a se ingriji singure"
res_company_caen_8891,8891,2.25,196,Activitati de ingrijire zilnica pentru copii
res_company_caen_8899,8899,1.25,159,"Alte activitati de asistenta sociala, fara cazare n.c.a."
res_company_caen_9001,9001,7.5,389,Activitati de interpretare artistica (spectacole)
res_company_caen_9002,9002,4.5,279,Activitati suport pentru interpretarea artistica (spectacole)
res_company_caen_9003,9003,3.75,251,Activitati de creatie artistica
res_company_caen_9004,9004,1.5,168,Activitati de gestionare a salilor de spectacol
res_company_caen_9101,9101,1.25,159,Activitati ale bibliotecilor si arhivelor
res_company_caen_9102,9102,1.5,168,Activitati ale muzeelor
res_company_caen_9103,9103,2,187,"Gestionarea monumentelor, clad. istorice si a altor obiective de interes turistic"
res_company_caen_9104,9104,1.75,178,"Activitati ale gradinilor zoologice, botanice si ale rezervatiilor naturale"
res_company_caen_9200,9200,1.5,168,Activitati de jocuri de noroc si pariuri
res_company_caen_9311,9311,2.25,196,Activitati ale bazelor sportive
res_company_caen_9312,9312,1.25,159,Activitati ale cluburilor sportive
res_company_caen_9313,9313,1,0.15,Activitati ale centrelor de fitness
res_company_caen_9319,9319,2,187,Alte activitati sportive
res_company_caen_9321,9321,4.75,288,Balciuri si parcuri de distractii
res_company_caen_9329,9329,2.5,205,Alte activitati recreative si distractive n.c.a.
res_company_caen_9411,9411,1.5,168,Activitati ale organizatiilor economice si patronale
res_company_caen_9412,9412,1,0.15,Activitati ale organizatiilor profesionale
res_company_caen_9420,9420,1.75,178,Activitati ale sindicatelor salariatilor
res_company_caen_9491,9491,1.5,168,Activitati ale organizatiilor religioase
res_company_caen_9492,9492,1,0.15,Activitati ale organizatiilor politice
res_company_caen_9499,9499,1.5,168,Activitati ale altor organizatii n.c.a.
res_company_caen_9511,9511,1,0.15,Repararea calculatoarelor si a echipamentelor periferice
res_company_caen_9512,9512,1.5,168,Repararea echipamentelor de comunicatii
res_company_caen_9521,9521,3,224,Repararea aparatelor electronice de uz casnic
res_company_caen_9522,9522,1,0.15,Repararea dispozitivelor de uz gospod.si a echipamentelor pentru casa si gradina
res_company_caen_9523,9523,1,0.15,Repararea incaltamintei si a articolelor din piele
res_company_caen_9524,9524,1,0.15,Repararea mobilei si a furniturilor casnice
res_company_caen_9525,9525,1,0.15,Repararea ceasurilor si a bijuteriilor
res_company_caen_9529,9529,3.5,242,Repararea articolelor de uz personal si gospodaresc n.c.a.
res_company_caen_9601,9601,3.25,233,Spalarea si curatarea (uscata) articolelor textile si a produselor din blana
res_company_caen_9602,9602,1.25,159,Coafura si alte activitati de infrumusetare
res_company_caen_9603,9603,1,0.15,Activitati de pompe funebre si similare
res_company_caen_9604,9604,1.25,159,Activitati de intretinere corporala
res_company_caen_9609,9609,3.25,233,Alte activitati de servicii n.c.a.
