id,code,name
customs_1,1,Petea (HU)
customs_2,2,Borș(HU)
customs_3,3,Vărșand(HU)
customs_4,4,Nădlac(HU)
customs_5,5,Calafat (BG)
customs_6,6,Bechet(BG)
customs_7,7,Turnu Măgurele(BG)
customs_8,8,Zimnicea(BG)
customs_9,9,Giurgiu(BG)
customs_10,10,Ostrov(BG)
customs_11,11,Negru Vodă(BG)
customs_12,12,Vama Veche(BG)
customs_13,13,Călărași(BG)
customs_14,14,Corabia(BG)
customs_15,15,Oltenița(BG)
customs_16,16,Carei  (HU)
customs_17,17,Cenad (HU)
customs_18,18,Episcopia Bihor (HU)
customs_19,19,Salonta (HU)
customs_20,20,Săcuieni (HU)
customs_21,21,Turnu (HU)
customs_22,22,Urziceni (HU)
customs_23,23,Valea lui Mihai (HU)
customs_24,24,Vladimirescu (HU)
customs_25,25,Porțile de Fier 1 (RS)
customs_26,26,Naidăș(RS)
customs_27,27,Stamora Moravița(RS)
customs_28,28,Jimbolia(RS)
customs_29,29,Halmeu (UA)
customs_30,30,Stânca Costești (MD)
customs_31,31,Sculeni(MD)
customs_32,32,Albița(MD)
customs_33,33,Oancea(MD)
customs_34,34,Galați Giurgiulești(MD)
customs_35,35,Constanța Sud Agigea
customs_36,36,Siret  (UA)
customs_37,37,Nădlac 2 - A1 (HU)
customs_38,38,Borș 2 - A3 (HU)
