id,code,name
aim_101,101,Comercializare
aim_201,201,Producție
aim_301,301,Gratuități
aim_401,401,Echipament comercial
aim_501,501,Mijloace fixe
aim_601,601,Consum propriu
aim_703,703,Operațiuni de livrare cu instalare
aim_704,704,Transfer între gestiuni
aim_705,705,Bunuri puse la dispoziția clientului
aim_801,801,Leasing financiar/operațional
aim_802,802,Bunuri în garanție
aim_901,901,Operațiuni scutite
aim_1001,1001,Investiție în curs
aim_1101,1101,"Donații, ajutoare"
aim_9901,9901,Altele
aim_9999,9999,Același cu operațiunea
